what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1326208672598
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1326208672608
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1326208672608
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1326208672608
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1326208672608
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1326208672608
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1326208672608
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1326208672618
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1326208672618
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1326208672628
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1326208672628
os,sysinfo,,,"win32",1326208672628
arch,sysinfo,,,"x86",1326208672628
ws,sysinfo,,,"win32",1326208672628
locale,sysinfo,,,"en_US",1326208672628
processors,sysinfo,,,"4",1326208672628
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1326208672628
java.runtime.version,sysinfo,,,"1.6.0_29-b11",1326208672628
java.specification.name,sysinfo,,,"Java Platform API Specification",1326208672628
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1326208672628
java.specification.version,sysinfo,,,"1.6",1326208672628
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1326208672628
java.version,sysinfo,,,"1.6.0_29",1326208672628
java.vm.info,sysinfo,,,"mixed mode, sharing",1326208672628
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1326208672628
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1326208672628
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1326208672628
java.vm.specification.version,sysinfo,,,"1.0",1326208672628
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1326208672628
java.vm.version,sysinfo,,,"20.4-b02",1326208672628
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1326208693518
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1326208699058
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1326208705478
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1326208776599
